condition,class,f1_mean,f1_sample_std,precision_mean,precision_sample_std,recall_mean,recall_sample_std
Baseline,BENIGN,0.9784452636608588,0.0015508186245653732,0.9836786516416357,0.004493562940209133,0.9732794431346132,0.0017283938832761527
Baseline,Bot,0.9107833592765942,0.025209110942987518,0.9440074462126454,0.020772435761390852,0.882420091324201,0.06554738456600731
Baseline,DDoS,0.9990002221481729,0.0003332223147839622,0.9987783699755718,0.00038445157273128493,0.9992222222222221,0.0003849001794597722
Baseline,DoS Hulk,0.988753009285103,0.000438243490923855,0.9809550192306609,0.0015639445687274888,0.9966782206816869,0.0010903862558161014
Baseline,DoS Slowhttptest,0.9963842878504096,0.0009717064137099048,0.9970227138210587,0.0019426962164010373,0.995748299319728,0.0007364161596806059
Baseline,PortScan,0.9985167784000373,0.00055517685765269,0.9983943738044783,0.0012995646986834982,0.9986399604352126,0.00021415069331960954
Baseline,Web Attack - XSS,0.9326923076923078,0.0,0.8818181818181818,0.0,0.9897959183673469,0.0
WGAN-GP augmented,BENIGN,0.978768769975401,0.0028086282929527108,0.9878451684336861,0.009186536463136072,0.9699113057146066,0.0036328033428457344
WGAN-GP augmented,Bot,0.9216155395657811,0.0335436357412077,0.9322286484381045,0.023929714037537915,0.9155251141552512,0.08488270066219772
WGAN-GP augmented,DDoS,0.9988895363464739,0.00041861232726349263,0.99844666178906,0.0010150124507719157,0.9993333333333334,0.00033333333333335213
WGAN-GP augmented,DoS Hulk,0.9884779381273292,0.00031938635532038516,0.979714471214692,0.001041026306621098,0.9974003466204507,0.0004332755632582286
WGAN-GP augmented,DoS Slowhttptest,0.9955369311114266,0.0006345151641161865,0.9953269095360059,0.0014620544399938625,0.995748299319728,0.0007364161596806059
WGAN-GP augmented,PortScan,0.998640189550725,0.00021359469345807363,0.9985170534269843,0.0006413403744087296,0.9987636003956478,0.00021415069331960954
WGAN-GP augmented,Web Attack - XSS,0.9282296650717704,0.0,0.8738738738738738,0.0,0.9897959183673469,0.0
Weighted loss,BENIGN,0.9759977699835717,0.002546821938394101,0.9937229273352383,0.0017784550944311753,0.9589087234759178,0.0055446539687283155
Weighted loss,Bot,0.9248301032886804,0.006474538514655574,0.8679677252529455,0.011443010038087465,0.9897260273972602,0.0
Weighted loss,DDoS,0.9986116386528913,0.0001924983162906977,0.9982236283469206,0.00019193831082732065,0.999,0.0003333333333332966
Weighted loss,DoS Hulk,0.9880836659762418,0.0010252257270373067,0.9820516968591236,0.003971933177989154,0.9942229924898903,0.005882556861472083
Weighted loss,DoS Slowhttptest,0.9940584379794717,0.0009652685075283329,0.9923766110365561,0.0021789479492262346,0.995748299319728,0.0007364161596806059
Weighted loss,PortScan,0.9966586431852456,0.001769417063746685,0.9976478507847503,0.002172793758075308,0.9956726013847675,0.0018297043257849248
Weighted loss,Web Attack - XSS,0.8506169659739721,0.03374205529637106,0.7410536130536131,0.050571085202727385,1.0,0.0
